symbol,price_percent_change,price,price_change
ACON,2076.25,11.36,10.84
PRTG,103.82,9.6,4.89
LXRX,64.13,0.571,0.22
DBVT,57.8,6.17,2.26
MYSZ,42.06,1.79,0.53
LXEH,32.78,17.7,4.37
OCG,30.16,2.59,0.6
TRSG,27.5,2.04,0.44
AGX,19.9,138.16,22.93
JNVR,19.83,5.5,0.91
YYAI,19.6,1.08,0.18
ALMS,19.57,5.62,0.92
ONEG,19.55,3.18,0.52
LWLG,19.31,1.205,0.2
CTXR,19.23,1.55,0.25
GHLD,19.16,16.23,2.61
NYC,18.41,12.48,1.94
SNSE,17.99,0.508,0.08
IRIX,17.78,1.04,0.16
PRLD,17.31,0.8,0.12
