symbol,price_percent_change,price,price_change
IBO,224.53,1.72,1.19
PSTV,121.14,1.13,0.62
SAG,67.41,1.13,0.46
OPTN,54.5,9.27,3.27
PRA,47.88,22.98,7.44
WINT,39.54,2.358,0.67
RGC,38.12,42.5,11.73
AGH,36.02,1.095,0.29
NOVA,35.48,0.501,0.13
AEVA,34.08,4.17,1.06
OM,25.65,10.4,2.12
SCOR,25.0,7.75,1.55
SPRY,24.29,14.48,2.83
ULY,23.58,4.56,0.87
CRVO,23.53,11.58,2.21
FTEL,22.63,0.894,0.16
GRFX,22.3,0.292,0.05
CLIK,22.28,2.3,0.42
ZTEK,22.04,1.12,0.2
CHEK,21.89,0.89,0.16
