symbol,price_percent_change,price,price_change
XHLD,84.55,1.08,0.49
LSE,68.6,13.1,5.33
BOWN,68.08,7.27,2.94
ADTX,38.13,10.36,2.86
ATER,35.55,2.86,0.75
OSRH,34.54,1.79,0.46
TRNR,31.77,1.41,0.34
EXOD,31.05,39.66,9.4
BDTX,30.04,2.185,0.5
SUNE,28.67,0.503,0.11
STI,26.29,0.184,0.04
BGSF,25.92,4.47,0.92
LZMH,23.64,11.82,2.26
HKPD,22.58,1.471,0.27
ALLR,22.29,1.04,0.19
LYEL,21.5,0.588,0.1
CNSP,20.85,4.29,0.74
CLIK,20.73,1.98,0.34
SVC,19.68,2.98,0.49
ABLV,18.99,1.21,0.19
