,symbol,price,price_change,price_percent_change
0,MLGO,3.93,1.41,55.95
1,TNXP,29.4,6.37,27.66
2,GRRR,27.93,2.78,11.06
3,LUNR,7.76,0.67,9.45
4,TEM,54.6,3.25,6.33
5,RR,2.4,0.14,6.19
6,OKLO,28.79,1.63,6.0
7,RCAT,5.74,0.32,5.9
8,CADL,8.52,0.46,5.65
9,LAES,3.14,0.16,5.37
10,VSAT,10.3,0.52,5.32
11,WULF,3.37,0.17,5.31
12,IREN,7.51,0.36,5.03
13,CIFR,3.06,0.14,4.79
14,BTDR,10.46,0.46,4.55
15,HOOD,46.35,1.99,4.49
16,SERV,7.32,0.31,4.47
17,APP,327.74,13.71,4.37
18,CRDO,48.33,1.99,4.29
19,AUR,7.54,0.3,4.22
20,HUT,13.44,0.54,4.19
21,MARA,12.88,0.51,4.08
22,APLD,7.36,0.29,4.1
23,ASTS,26.73,1.02,3.97
24,QUBT,7.68,0.29,3.9
25,CORZ,8.84,0.33,3.82
26,CART,40.36,1.46,3.75
27,AKBA,2.21,0.08,3.75
28,ON,45.41,1.63,3.72
29,MSTR,314.57,10.57,3.48
30,TSLA,257.31,8.6,3.46
31,AFRM,51.58,1.69,3.38
32,COIN,196.51,6.65,3.5
33,CLSK,7.69,0.25,3.36
34,CCL,21.64,0.7,3.34
35,RGTI,9.38,0.3,3.36
36,UPST,53.66,1.7,3.27
37,RIOT,8.22,0.27,3.4
38,VNET,9.03,0.32,3.64
39,VLY,9.13,0.28,3.16
40,SFIX,3.78,0.12,3.14
41,META,614.92,18.67,3.13
42,KC,15.9,0.47,3.08
43,UAL,77.17,2.3,3.07
44,AMD,109.7,3.26,3.06
45,MCHP,53.28,1.56,3.02
46,ENVX,8.7,0.25,2.96
47,PTON,7.15,0.19,2.73
48,NBIS,27.7,0.71,2.65
49,RKLB,19.43,0.49,2.58
50,AQST,3.29,0.08,2.49
51,INTC,24.86,0.6,2.47
52,WBD,11.0,0.27,2.47
53,EXPI,10.2,0.24,2.46
54,ZI,11.16,0.27,2.43
55,SOFI,13.18,0.3,2.37
56,LRCX,77.61,1.77,2.33
57,DKNG,40.37,0.88,2.22
58,AMZN,200.59,4.38,2.23
59,MRVI,2.31,0.04,1.99
60,EVGO,2.82,0.06,2.14
61,WVE,9.8,0.2,2.14
62,TTD,57.5,1.19,2.1
63,PLTR,92.82,1.85,2.04
64,SOUN,10.06,0.2,2.05
65,RXRX,6.82,0.14,2.02
66,CPRT,54.7,1.07,2.0
67,BYND,3.62,0.07,1.97
68,PYPL,71.56,1.38,1.96
69,NVDA,119.92,2.22,1.89
70,QCOM,159.78,2.96,1.88
71,SEDG,17.34,0.31,1.82
72,CZR,27.85,0.49,1.79
73,NTLA,9.16,0.16,1.78
74,PANW,185.56,3.24,1.78
75,LYFT,12.19,0.21,1.75
76,JBLU,5.52,0.1,1.75
77,LCID,2.46,0.04,1.71
78,AAL,11.6,0.21,1.84
79,MRNA,33.2,0.54,1.65
80,CRWD,368.22,5.99,1.65
81,GOOGL,166.56,2.58,1.57
82,CSCO,61.25,0.95,1.58
83,RIVN,11.78,0.18,1.55
84,GOOG,168.8,2.55,1.53
85,AVGO,194.5,2.83,1.48
86,BGC,9.49,0.14,1.47
87,OUST,11.21,0.16,1.45
88,MRVL,71.38,0.98,1.4
89,PDD,128.38,1.74,1.37
90,FTNT,100.0,1.35,1.37
91,RUN,6.68,0.09,1.37
92,RYAAY,46.8,0.62,1.34
93,NVTS,2.36,0.03,1.29
94,ACHR,8.83,0.11,1.26
95,MU,95.88,1.16,1.22
96,BAC,42.96,0.49,1.17
97,INFY,18.53,0.21,1.15
98,PARA,12.0,0.14,1.14
99,IOVA,3.58,0.04,1.13
