symbol,price_percent_change,price,price_change
MLGO,288.29,9.79,7.27
IMTE,103.74,1.1,0.56
RAY,60.09,1.825,0.69
CAPS,52.81,2.628,0.91
XHLD,51.79,2.125,0.73
KDLY,44.37,2.18,0.67
ABVE,38.06,0.58,0.16
LOT,36.71,2.16,0.58
NAK,33.71,1.19,0.3
TNXP,33.08,30.65,7.62
DOMH,31.23,5.42,1.29
FLD,31.15,8.42,2.0
GDHG,26.69,1.78,0.37
LXEO,25.83,3.41,0.7
LUNR,23.7,8.77,1.68
AIMAU,22.78,15.09,2.8
CDXS,22.16,3.115,0.57
CYRX,21.97,6.94,1.25
WINT,20.61,1.785,0.31
AREC,20.5,0.603,0.1
