,symbol,price,price_change,price_percent_change
0,BOWN,7.46,3.14,72.54
1,LSE,13.14,5.37,69.11
2,ADTX,10.42,2.92,38.93
3,ATER,2.86,0.75,35.55
4,CSAI,7.33,1.76,31.53
5,EXOD,39.66,9.39,31.05
6,LZMH,11.7,2.14,22.38
7,CNSP,4.29,0.74,20.85
8,SVC,2.98,0.49,19.68
9,SIG,56.8,8.5,17.6
10,ELAB,5.51,0.81,17.23
11,VERO,3.33,0.48,16.84
12,BTAI,2.56,0.36,16.14
13,HURA,3.22,0.42,15.0
14,XNET,5.15,0.67,14.96
15,BDRX,2.32,0.3,14.89
16,WLGS,5.45,0.69,14.5
17,AIRS,2.95,0.36,13.9
18,GRO,3.78,0.43,12.99
19,STNE,11.12,1.27,12.9
20,AEVA,3.02,0.34,12.69
21,BGM,11.52,1.28,12.5
22,GYRE,9.6,1.03,12.02
23,AUID,5.6,0.59,11.78
24,AKBA,2.84,0.29,11.19
25,OLLI,110.06,11.0,11.1
26,TRVG,4.75,0.46,10.72
27,CRGX,4.2,0.41,10.66
28,SSP,3.21,0.29,9.93
29,CSIQ,10.73,0.95,9.71
30,NXL,2.41,0.21,9.55
31,MLYS,16.9,1.47,9.53
32,STAI,2.43,0.21,9.46
33,GPCR,23.06,1.95,9.24
34,HCM,16.32,1.38,9.2
35,EOSE,4.47,0.38,9.15
36,SPCE,4.12,0.34,8.86
37,SMLR,38.58,3.1,8.72
38,SMR,18.02,1.44,8.66
39,UPLD,3.6,0.28,8.58
40,SRAD,21.8,1.72,8.57
41,AZ,7.49,0.59,8.55
42,SRPT,79.78,6.25,8.49
43,FWRD,22.22,1.71,8.34
44,LTBR,9.97,0.76,8.25
45,GCL,2.38,0.18,8.18
46,VFS,3.52,0.27,8.13
47,ALTG,5.58,0.41,8.04
48,SHOP,101.3,7.29,7.75
49,EVEX,3.34,0.23,7.58
50,YHC,2.61,0.18,7.41
51,SNBR,6.74,0.46,7.24
52,DJT,21.5,1.41,7.02
53,AFRM,46.73,3.03,6.93
54,MCS,17.35,1.12,6.9
55,NBIS,27.41,1.74,6.78
56,SRFM,4.1,0.26,6.7
57,LOMA,10.98,0.69,6.66
58,QNTM,6.93,0.43,6.62
59,KRMN,36.78,2.28,6.61
60,IREN,7.02,0.43,6.6
61,MEI,6.82,0.42,6.58
62,DQ,21.04,1.27,6.45
63,WULF,3.15,0.19,6.42
64,GDRX,4.76,0.28,6.36
65,BTDR,10.08,0.59,6.27
66,SATL,4.1,0.24,6.22
67,COHR,69.43,4.05,6.19
68,IMAX,25.83,1.49,6.12
69,AUR,7.36,0.42,6.12
70,QD,3.01,0.17,5.99
71,XPEV,24.0,1.35,5.98
72,YMAB,4.81,0.27,5.95
73,ROKU,71.36,4.0,5.95
74,SHCO,7.06,0.4,5.92
75,RGNX,8.26,0.46,5.9
76,CORZ,8.49,0.47,5.84
77,PAGS,8.35,0.46,5.83
78,WOLF,5.76,0.32,5.78
79,IBTA,40.93,2.23,5.76
80,BA,170.84,9.27,5.73
81,MSTR,299.34,16.15,5.7
82,FIX,358.53,19.23,5.67
83,ECG,39.82,2.13,5.65
84,SYM,22.17,1.18,5.62
85,CTRI,17.34,0.92,5.6
86,YRD,8.52,0.45,5.58
87,SNOA,3.43,0.18,5.54
88,LCID,2.48,0.13,5.53
89,ACDC,7.52,0.39,5.47
90,JFIN,13.6,0.7,5.43
91,INMB,7.58,0.39,5.42
92,CMPO,11.47,0.59,5.42
93,INOD,43.62,2.24,5.41
94,BTMD,4.29,0.22,5.41
95,BROS,66.4,3.4,5.39
96,PUMP,7.18,0.36,5.35
97,STRL,124.35,6.31,5.35
98,SEPN,6.57,0.33,5.33
99,GLNG,36.89,1.85,5.28
