symbol,price,price_change,price_percent_change
MLGO,13.99,11.47,455.16
LXEO,4.09,1.38,50.92
DOMH,5.49,1.36,32.93
TNXP,30.51,7.48,32.48
LUNR,9.22,2.13,30.04
CYRX,7.1,1.41,24.78
UPC,4.39,0.87,24.57
MRT,3.52,0.65,22.65
ZCAR,6.37,1.12,21.33
CDXS,3.07,0.52,20.39
CHCI,9.27,1.53,19.77
BBAI,3.54,0.57,19.36
ZYBT,5.8,0.92,18.85
HFFG,4.16,0.66,18.66
QUBT,8.75,1.36,18.4
CLSK,8.79,1.35,18.15
MARA,14.61,2.23,18.01
YSG,5.51,0.83,17.74
AZEK,48.58,7.19,17.37
IONQ,26.1,3.84,17.25
KUKE,3.33,0.48,16.84
BTDR,11.65,1.64,16.38
CLPR,4.3,0.57,15.46
BKKT,13.76,1.83,15.34
CLIK,3.18,0.42,15.22
RR,2.6,0.34,15.04
TEM,59.0,7.65,14.9
ATER,2.43,0.31,14.62
BIRD,5.89,0.75,14.59
NXGL,3.09,0.39,14.44
VSAT,11.19,1.41,14.42
ASTS,29.3,3.59,13.96
DERM,6.54,0.8,13.94
OKLO,30.94,3.77,13.9
KSS,9.4,1.12,13.53
MPTI,42.35,4.96,13.27
AEVA,4.74,0.55,13.13
APLD,7.99,0.92,13.01
NEUE,6.34,0.73,13.01
GRO,3.5,0.4,12.9
W,37.92,4.26,12.66
COHR,76.81,8.57,12.56
ANNX,2.7,0.3,12.5
LAKE,21.09,2.33,12.42
KOSS,5.82,0.63,12.14
OPFI,10.94,1.18,12.09
KRUS,61.77,6.64,12.04
TSLA,278.39,29.68,11.93
CVNA,213.73,22.78,11.93
AISP,4.53,0.48,11.85
FIGS,4.84,0.51,11.78
RIME,2.47,0.26,11.76
ZBIO,9.31,0.98,11.76
SERV,7.79,0.78,11.13
BOF,2.3,0.23,11.11
ORGO,5.42,0.54,11.07
ZJK,5.22,0.52,11.06
ROOT,177.69,17.43,10.88
GOGO,8.22,0.8,10.78
LITE,73.63,7.02,10.54
MSTR,335.72,31.72,10.43
RCAT,5.98,0.56,10.33
INOD,46.12,4.3,10.28
SHMD,3.25,0.3,10.17
MKFG,3.24,0.29,10.03
PLTK,4.41,0.4,9.98
GLTO,6.7,0.6,9.84
MOB,2.46,0.22,9.82
TDUP,2.81,0.25,9.77
RIOT,8.72,0.77,9.69
CIFR,3.2,0.28,9.59
SHOO,27.43,2.4,9.59
NIU,4.24,0.37,9.56
ANAB,18.71,1.63,9.54
SYTA,2.32,0.2,9.43
ARQQ,19.4,1.67,9.42
PGY,12.44,1.07,9.41
CORZ,9.31,0.8,9.4
NFE,12.22,1.05,9.4
LE,11.21,0.96,9.37
MNTS,2.22,0.19,9.36
SMLR,42.88,3.66,9.33
SERA,4.14,0.35,9.23
CYN,4.98,0.42,9.21
NNE,32.93,2.74,9.08
URBN,53.58,4.45,9.06
TIL,19.51,1.62,9.06
AAOI,22.28,1.85,9.06
CRDO,50.53,4.19,9.04
HOOD,48.36,4.0,9.02
NPWR,3.2,0.27,9.01
LFMD,6.1,0.5,8.93
AMSC,21.59,1.75,8.82
QXO,13.78,1.11,8.76
DPRO,3.24,0.26,8.72
TKNO,6.37,0.51,8.7
BHVN,31.02,2.48,8.69
HEPS,3.04,0.24,8.57
ZETA,15.66,1.23,8.52
REAL,6.76,0.53,8.51
