symbol,price,price_change,price_percent_change
VVPR,4.22,1.96,86.73
ULY,5.08,1.17,29.93
WOR,50.96,9.33,22.41
PLTK,5.38,0.97,22.16
HCAI,7.26,1.29,21.73
LXEH,12.62,2.22,21.33
LGHL,4.4,0.7,18.92
QNTM,6.94,1.07,18.34
GME,29.14,3.74,14.72
EPSM,4.55,0.55,13.73
PRM,10.29,1.18,12.95
SYTA,2.27,0.25,12.38
EDBL,3.23,0.34,11.76
ICU,2.42,0.21,9.5
CYD,18.62,1.59,9.34
BOF,2.42,0.19,8.56
ZYBT,8.89,0.69,8.41
CATO,3.53,0.27,8.19
LZMH,8.28,0.62,8.09
DOOO,38.28,2.74,7.71
BAK,3.97,0.28,7.59
VS,2.25,0.16,7.46
TZUP,4.33,0.3,7.44
REX,39.26,2.65,7.25
NIU,4.42,0.28,6.76
CTAS,206.45,12.99,6.71
TBH,5.88,0.37,6.65
ADTX,7.41,0.45,6.52
JFIN,12.5,0.76,6.43
QFIN,46.88,2.65,5.98
AMPY,3.94,0.22,5.91
XYF,13.76,0.76,5.85
HOND,10.72,0.58,5.72
RERE,3.18,0.17,5.48
ASH,60.03,3.1,5.45
RILY,4.27,0.22,5.43
DATS,3.99,0.21,5.43
AZ,7.68,0.4,5.42
PHH,10.05,0.51,5.35
KFS,8.1,0.39,5.01
IMNM,7.29,0.34,4.89
GTE,5.16,0.24,4.88
ACIC,12.02,0.55,4.75
ELAB,5.14,0.23,4.68
BYON,5.06,0.23,4.66
GDHG,3.98,0.17,4.54
KNOP,6.65,0.28,4.43
CYN,5.21,0.22,4.41
TLK,14.69,0.61,4.35
TALO,9.64,0.4,4.33
DLTR,70.04,2.9,4.32
VNET,8.85,0.36,4.3
WVE,9.85,0.41,4.29
AVD,4.39,0.18,4.28
ALMS,4.17,0.17,4.26
SJT,5.74,0.23,4.17
GO,12.71,0.5,4.1
EHLD,5.06,0.2,4.06
SFD,19.91,0.77,4.02
UPC,4.68,0.18,3.98
PAYX,149.69,5.56,3.86
DAR,30.78,1.11,3.76
KOS,2.36,0.09,3.74
TTAM,14.14,0.51,3.74
FLIC,12.51,0.45,3.73
NGD,3.5,0.13,3.71
HUHU,5.53,0.19,3.56
CNOB,24.57,0.84,3.54
WFRD,56.76,1.94,3.53
GV,3.29,0.11,3.53
TH,6.34,0.21,3.51
SDRL,25.98,0.88,3.51
NPKI,6.08,0.2,3.49
BIYA,4.5,0.15,3.45
MOH,321.1,10.57,3.4
OBE,6.18,0.2,3.34
BOOM,9.1,0.29,3.29
FUFU,5.68,0.18,3.27
IAG,6.24,0.2,3.23
RIG,3.24,0.1,3.21
CNC,60.78,1.84,3.12
MNSO,18.8,0.56,3.1
TSE,4.03,0.12,3.07
PROP,5.41,0.16,3.05
SND,2.56,0.07,3.02
GRAB,4.68,0.14,2.97
ACHV,2.94,0.09,2.97
TAL,13.42,0.39,2.95
DAO,7.86,0.23,2.95
HLX,8.86,0.25,2.9
APDN,2.16,0.06,2.86
KYTX,2.37,0.07,2.83
TTE,65.32,1.79,2.83
MUR,28.52,0.78,2.81
GMAB,19.6,0.54,2.81
LI,26.77,0.73,2.8
RNR,245.81,6.69,2.8
MGY,26.05,0.7,2.76
ODP,15.05,0.4,2.73
HCI,144.3,3.83,2.73
