symbol,price,price_change,price_percent_change
OPTN,9.28,3.28,54.63
PRA,22.99,7.45,47.94
RGC,42.5,11.73,38.12
AEVA,4.19,1.08,34.73
OM,10.4,2.12,25.65
SPRY,14.46,2.81,24.13
ULY,4.56,0.87,23.58
CRVO,11.5,2.13,22.78
MYNZ,5.22,0.95,22.26
STAI,2.96,0.53,21.77
RENT,5.8,0.97,20.08
EXOD,48.68,7.93,19.46
NIPG,2.47,0.4,19.32
OSS,2.88,0.46,19.01
ANNA,8.56,1.32,18.33
AIFF,5.69,0.87,18.05
STAK,3.85,0.57,17.38
CLEU,2.37,0.35,17.33
NAOV,3.72,0.46,14.17
CPS,16.74,2.08,14.15
PHH,11.09,1.37,14.09
CAPR,13.88,1.66,13.62
HFFG,3.33,0.4,13.61
TITN,16.72,1.99,13.51
BKKT,10.54,1.23,13.18
QNTM,7.48,0.82,12.31
POET,4.34,0.47,12.29
MNTK,2.32,0.24,11.54
APVO,2.93,0.3,11.41
JUNE,7.68,0.72,10.41
ACHV,2.94,0.27,10.11
OPRX,9.48,0.87,10.1
ELAB,6.19,0.55,9.75
KNOP,6.18,0.55,9.68
ONIT,33.68,2.95,9.6
ADTX,10.99,0.96,9.57
KPTI,6.45,0.56,9.51
ECX,2.84,0.24,9.42
FEIM,17.29,1.46,9.22
JFB,3.98,0.33,8.95
XCUR,14.02,1.12,8.68
TWI,9.17,0.72,8.52
LSF,6.11,0.46,8.14
HOUS,4.07,0.3,8.11
CVNA,189.88,13.79,7.83
IHS,4.87,0.35,7.74
IMCR,30.78,2.07,7.21
ACB,4.65,0.31,7.18
GAMB,13.35,0.87,6.97
DWTX,6.32,0.41,6.94
BLND,3.8,0.24,6.9
XTIA,2.7,0.17,6.5
LWAY,24.07,1.46,6.46
RR,2.26,0.14,6.34
USAU,10.95,0.65,6.31
BE,25.83,1.52,6.25
SQNS,2.43,0.14,6.0
DBI,4.03,0.23,5.92
KURA,7.7,0.43,5.91
FIVE,80.04,4.46,5.89
SLQT,3.82,0.21,5.82
IGIC,27.12,1.49,5.81
JTAI,5.49,0.3,5.78
NIXX,2.23,0.12,5.69
SSTI,18.46,0.99,5.67
ACVA,15.42,0.81,5.54
WS,28.36,1.48,5.51
SNDX,13.84,0.72,5.49
TBBB,25.52,1.32,5.45
CAVA,85.38,4.38,5.41
REBN,4.89,0.25,5.39
OPRT,6.0,0.3,5.26
KUKE,2.2,0.11,5.26
CNNE,17.86,0.88,5.18
ELVA,2.85,0.13,4.96
JBL,146.37,6.89,4.94
BCAX,13.01,0.61,4.92
DRI,197.34,9.19,4.88
PAL,10.32,0.47,4.82
SGMT,4.03,0.18,4.68
RUN,6.96,0.3,4.58
EUDA,4.19,0.18,4.49
SPCB,7.49,0.32,4.46
CLS,96.02,4.1,4.46
TNXP,17.2,0.73,4.43
KNSA,24.09,1.01,4.38
BASE,14.13,0.55,4.05
ALLT,6.19,0.24,4.03
BOWN,6.64,0.26,4.0
HSHP,6.0,0.23,3.99
DPRO,3.15,0.12,3.96
TTEC,3.47,0.13,3.92
VSCO,22.51,0.83,3.83
PLAY,19.54,0.71,3.77
DEC,13.78,0.5,3.77
PKX,55.32,2.0,3.75
EVGO,2.77,0.1,3.74
ADVM,5.6,0.19,3.51
CALX,36.05,1.22,3.5
VG,11.58,0.39,3.44
