symbol,price_percent_change,price,price_change
KBSX,309.7,5.49,4.15
ADTX,71.62,7.5,3.13
RGC,71.03,31.64,13.14
CJET,43.97,1.67,0.51
LSE,39.25,7.77,2.19
BHAT,36.36,3.45,0.92
PHH,34.98,10.65,2.76
OSRH,34.54,1.79,0.46
ASNS,33.21,1.085,0.27
LITM,31.52,0.547,0.13
MPU,31.31,0.65,0.15
HMR,28.15,3.46,0.76
RMSG,27.22,2.29,0.49
TNXP,25.68,20.46,4.18
GRO,25.47,3.35,0.68
ONEG,22.75,2.59,0.48
CANF,22.42,2.02,0.37
GORV,22.04,0.891,0.16
TIGR,21.71,9.7,1.73
STBX,21.61,0.247,0.04
