symbol,price_percent_change,price,price_change
WHLR,367.09,3.69,2.9
GATE,256.7,58.0,41.74
OSRH,136.88,3.79,2.19
LYT,88.28,0.117,0.05
DRCT,69.32,1.33,0.54
GTEC,66.41,2.18,0.87
NKTX,44.53,1.98,0.61
ME,43.68,0.762,0.23
CNXC,42.38,65.04,19.36
OCG,41.13,1.99,0.58
LGPS,40.0,2.45,0.7
SLNO,37.59,67.38,18.41
MLGO,33.39,15.82,3.96
WOOF,31.56,3.21,0.77
LZMH,30.42,9.99,2.33
NCNA,28.92,1.07,0.24
BIYA,27.38,6.23,1.34
PTLE,25.5,1.87,0.38
KDLY,24.56,2.13,0.42
JFIN,24.55,15.07,2.97
