symbol,price,price_change,price_percent_change
TNXP,23.03,4.84,26.61
ALNY,283.34,29.8,11.75
WGS,104.39,7.68,7.94
SMCI,42.15,3.05,7.8
NFE,11.17,0.82,7.92
PTON,6.96,0.44,6.75
TEM,51.35,3.31,6.89
RIVN,11.6,0.72,6.62
W,33.65,2.1,6.64
RDDT,115.52,6.77,6.23
ROKU,78.29,4.47,6.06
RBLX,61.16,3.24,5.59
HIMS,34.78,1.91,5.81
OTLY,10.02,0.54,5.7
CYTK,45.43,2.33,5.41
CELH,32.93,1.68,5.38
TSLA,248.71,12.45,5.27
ACHR,8.7,0.42,5.06
JOBY,6.64,0.31,4.9
GME,24.77,1.26,5.36
IONQ,22.25,1.11,5.25
ROOT,160.26,7.62,4.99
CHWY,33.83,1.51,4.66
CAR,60.65,2.73,4.71
MUFG,14.98,0.65,4.53
